State,Fips,Tightness,Collectivism,RB,Population,Minority,Foreigner,Income,density,Percent_over65,Segregation_2005-9,Segregation_2000,Change_segregation,Black Share,GINI,Conservatism,Percent_m,Median_age
Montana,30,46.11,31,0.528100687,1062305,0.11,2.2,52559,6.8,18.7,65.52,40.92,24.6,0.648725268,0.4535,0.230,0.503219638,39.8
Nebraska,31,49.65,35,0.643129415,1929268,0.117,7,59116,23.8,15.7,68.35,69.95,-1.6,4.377722823,0.4488,0.200,0.498703249,36.4
Nevada,32,33.61,52,0.270327301,3034392,0.257,19.4,57598,24.6,15.7,46.54,46.79,-0.25,7.441380054,0.469,0.090,0.501964008,37.9
New Hampshire,33,36.97,43,0.406975373,1356458,0.068,6,74057,147,18.1,54.99,41.24,13.75,1.213219335,0.453,0.060,0.494918214,42.7
New Jersey,34,39.48,59,0.518310112,8908520,0.28,22.2,79363,1195.5,16.1,67.54,69.57,-2.03,13.11534487,0.4836,0.010,0.488178976,39.8
New Mexico,35,45.43,51,0.55122438,2095428,0.18,9.6,48059,17,17.5,49.8,39.98,9.82,2.212600968,0.4891,0.110,0.495045483,37.5
New York,36,39.42,53,0.626806161,19542209,0.303,22.6,65323,411.2,16.4,79.01,80.08,-1.07,14.72954442,0.513,-0.020,0.485234743,38.7
North Carolina,37,60.67,56,0.558103821,10383620,0.294,7.9,52413,196.1,16.3,49.81,50.69,-0.88,21.21869325,0.4782,0.170,0.486898589,38.6
North Dakota,38,51.44,37,0.630984755,760077,0.13,3.9,63473,9.7,15.3,59.72,53.78,5.94,1.118198515,0.4427,0.230,0.513403997,35.1
Ohio,39,52.3,45,0.748785442,11689442,0.181,4.5,54533,282.3,17.1,70.23,72.39,-2.16,11.86776514,0.4667,0.190,0.489952438,39.3
Oklahoma,40,75.03,42,0.611291582,3943079,0.258,6,51424,54.7,15.7,56.31,57.11,-0.8,7.754736171,0.4687,0.190,0.495535506,36.4
Oregon,41,30.07,33,0.454174266,4190713,0.132,9.9,59393,39.9,17.6,59.55,57.1,2.45,1.789339713,0.4582,0.000,0.495602462,39.2
Pennsylvania,42,52.75,52,0.71717537,12807060,0.182,6.8,59445,283.9,18.2,72.95,75.16,-2.21,10.33643065,0.4747,0.130,0.489649001,40.7
Rhode Island,44,43.23,48,0.584720731,1057315,0.161,13.6,63296,1018.1,17.2,61.6,61.73,-0.13,5.104494929,0.5424,-0.040,0.485828749,39.9
South Carolina,45,61.39,70,0.555981981,5084127,0.315,4.9,51015,153.9,17.7,46.15,46.24,-0.09,27.86852791,0.47,0.280,0.485424214,39.2
South Dakota,46,51.14,36,0.632466406,882235,0.156,3.5,56499,10.7,16.6,61.22,50.32,10.9,1.138256217,0.4762,0.320,0.504184364,36.8
Tennessee,47,68.81,56,0.592653039,6770010,0.215,5,50972,153.9,16.4,66.7,68.5,-1.8,16.5550818,0.4445,0.270,0.487691264,38.7
Texas,48,67.54,58,0.59441123,28701845,0.212,17,59570,96.3,12.6,57.42,59.09,-1.67,11.34686762,0.4778,0.180,0.496671262,34.4
Utah,49,49.69,61,0.612769902,3161105,0.093,8.4,68374,33.6,11.1,55.37,44.62,10.75,1.066447555,0.4269,0.250,0.503314233,30.7
Vermont,50,37.23,42,0.492384628,626299,0.058,4.6,60076,67.9,19.4,51.59,35.14,16.45,0.903081575,0.4473,-0.050,0.492774934,42.9
Virginia,51,57.37,60,0.49524008,8517685,0.305,12.3,71564,202.6,15.4,50.04,51.53,-1.49,19.50506115,0.4754,0.200,0.491880814,38.1
Washington,53,31.06,37,0.463052334,7535591,0.211,14,70116,101.2,15.4,57.94,55.12,2.82,3.532429648,0.4574,0.000,0.49979395,37.6
West Virginia,54,52.48,48,0.687088278,1805832,0.065,1.6,44921,77.1,19.9,59.05,58.59,0.46,3.595935106,0.4742,0.310,0.494351725,42.4
Wisconsin,55,46.91,46,0.707625162,5813568,0.129,5,59209,105,17,77.54,80.71,-3.17,5.942836973,0.4483,0.220,0.497088984,39.3
Wyoming,56,51.94,35,0.423993963,577737,0.074,3.5,62268,5.8,16.5,62.22,54.4,7.82,1.153655355,0.4555,0.240,0.510417025,37.3
